sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
EDU,EDU-LIBRARY TECHNICIANS,1939,64483,15287,LIBRARY TECHNICIANS,Some College
EDU,EDU-TEACHER ASSISTANTS,54922,1294660,16272.3,TEACHER ASSISTANTS,Some College
EDU,"EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",4101,138612,37437.7,"OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",Bachelor Degree
ENT,ENT-ARTISTS AND RELATED WORKERS,10225,252423,26401.4,ARTISTS AND RELATED WORKERS,Bachelor Degree
ENT,ENT-DESIGNERS,20068,1015594,39110.8,DESIGNERS,Some College
ENT,ENT-ACTORS,2049,78209,23362.7,ACTORS,Some College
ENT,ENT-PRODUCERS AND DIRECTORS,2740,177628,63538.6,PRODUCERS AND DIRECTORS,Bachelor Degree
ENT,"ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",5494,426324,22002.2,"ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",Some College
ENT,ENT-DANCERS AND CHOREOGRAPHERS,632,29485,21118.2,DANCERS AND CHOREOGRAPHERS,Some College
ENT,"ENT-MUSICIANS, SINGERS, AND RELATED WORKERS",14026,262191,18916.5,"MUSICIANS, SINGERS, AND RELATED WORKERS",Some College
ENT,"ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",2565,56291,17534.8,"ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",Some College
ENT,ENT-ANNOUNCERS,4420,57267,33629.1,ANNOUNCERS,Some College
ENT,"ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",2619,88395,49712,"NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",Bachelor Degree
ENT,ENT-PUBLIC RELATIONS SPECIALISTS,2198,152696,61582.1,PUBLIC RELATIONS SPECIALISTS,Bachelor Degree
ENT,ENT-EDITORS,5045,221123,42321.9,EDITORS,Bachelor Degree
ENT,ENT-TECHNICAL WRITERS,2293,66305,54379,TECHNICAL WRITERS,Bachelor Degree
ENT,ENT-WRITERS AND AUTHORS,10338,290605,34839.2,WRITERS AND AUTHORS,Bachelor Degree
ENT,ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,5559,135297,24981.9,MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,Some College
ENT,"ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",2758,126710,39217.6,"BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",Some College
ENT,ENT-PHOTOGRAPHERS,7172,234190,16869.2,PHOTOGRAPHERS,Some College
ENT,"ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",1498,77834,35366.2,"TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",Bachelor Degree
MED,MED-CHIROPRACTORS,1012,57835,55820.3,CHIROPRACTORS,"Master, PhD, or Professional Degree"
MED,MED-DENTISTS,2162,177401,124640.9,DENTISTS,"Master, PhD, or Professional Degree"
MED,MED-DIETITIANS AND NUTRITIONISTS,3382,106644,38513.5,DIETITIANS AND NUTRITIONISTS,Bachelor Degree
MED,MED-OPTOMETRISTS,113,39645,85471.5,OPTOMETRISTS,"Master, PhD, or Professional Degree"
MED,MED-PHARMACISTS,8083,328541,86644.6,PHARMACISTS,"Master, PhD, or Professional Degree"
MED,MED-PHYSICIANS AND SURGEONS,13910,970535,192009.9,PHYSICIANS AND SURGEONS,"Master, PhD, or Professional Degree"
MED,MED-PHYSICIAN ASSISTANTS,549,100424,85022,PHYSICIAN ASSISTANTS,"Master, PhD, or Professional Degree"
MED,MED-PODIATRISTS,308,8120,116267.1,PODIATRISTS,"Master, PhD, or Professional Degree"
MED,MED-AUDIOLOGISTS,287,17003,59166.8,AUDIOLOGISTS,"Master, PhD, or Professional Degree"
MED,MED-OCCUPATIONAL THERAPISTS,1387,115968,53389.5,OCCUPATIONAL THERAPISTS,Bachelor Degree
MED,MED-PHYSICAL THERAPISTS,1755,254100,60572.1,PHYSICAL THERAPISTS,"Master, PhD, or Professional Degree"
MED,MED-RADIATION THERAPISTS,269,18328,64577.8,RADIATION THERAPISTS,Bachelor Degree
MED,MED-RECREATIONAL THERAPISTS,311,11936,33030.4,RECREATIONAL THERAPISTS,Bachelor Degree
MED,MED-RESPIRATORY THERAPISTS,3442,111079,50166.8,RESPIRATORY THERAPISTS,Some College
MED,MED-SPEECH-LANGUAGE PATHOLOGISTS,2774,167094,47571.1,SPEECH-LANGUAGE PATHOLOGISTS,"Master, PhD, or Professional Degree"
MED,"MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",3678,178562,35264.6,"OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",Bachelor Degree
MED,MED-VETERINARIANS,1011,78341,83180.7,VETERINARIANS,"Master, PhD, or Professional Degree"
MED,MED-REGISTERED NURSES,97596,3427336,53748.8,REGISTERED NURSES,Bachelor Degree
MED,MED-NURSE ANESTHETISTS,431,30050,142463.3,NURSE ANESTHETISTS,"Master, PhD, or Professional Degree"
MED,"MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES",1419,141537,85312.5,"NURSE PRACTITIONERS, AND NURSE MIDWIVES","Master, PhD, or Professional Degree"
MED,"MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",797,29862,30935.3,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",Bachelor Degree
MED,MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,11286,374283,39443.1,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,Some College
MED,MED-DENTAL HYGIENISTS,2205,197661,44156.4,DENTAL HYGIENISTS,Some College
MED,MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,9733,382147,48135.7,DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,Some College
MED,MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,4369,228589,38385.9,EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,Some College
MED,MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,17497,711158,27142.3,HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,Some College
MED,MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,53066,948238,30436.4,LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,Some College
MED,MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,9797,203355,33079.5,MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,Some College
MED,"MED-OPTICIANS, DISPENSING",2461,63244,33525.4,"OPTICIANS, DISPENSING",Some College
MED,MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,5527,141277,39907.2,MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,Some College
MED,MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,4572,147320,50273.5,OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,Bachelor Degree
HLS,"HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",144953,2447466,18920.1,"NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",Some College
HLS,HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,1396,23578,34523.4,OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,Some College
HLS,HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES,1017,101208,30485.1,PHYSICAL THERAPIST ASSISTANTS AND AIDES,Some College
HLS,HLS-MASSAGE THERAPISTS,4203,201703,14391.2,MASSAGE THERAPISTS,Some College
HLS,HLS-DENTAL ASSISTANTS,5330,360691,25001.7,DENTAL ASSISTANTS,Some College
HLS,HLS-MEDICAL ASSISTANTS,15418,605057,24382.8,MEDICAL ASSISTANTS,Some College
HLS,HLS-MEDICAL TRANSCRIPTIONISTS,3426,59300,17057.1,MEDICAL TRANSCRIPTIONISTS,Some College
HLS,HLS-PHARMACY AIDES,2316,52116,25217.8,PHARMACY AIDES,Some College
